<<<<<<< HEAD
,ProductID,Weight,FatContent,ProductVisibility,ProductType,MRP,OutletID,EstablishmentYear,OutletSize,LocationType,OutletType,result
0,1103,20.75,0,0.007564836,13,107.8622,9,1999,1,0,1,1567.7517
1,1067,8.3,1,0.038427677,4,87.3198,2,2007,1,1,1,1345.2489
2,1406,14.6,0,0.099574908,11,241.7538,0,1998,1,2,0,723.4182
3,809,7.315,0,0.015388393,13,155.034,2,2007,1,1,1,2377.8662
4,1184,12.695633368756642,1,0.118599314,4,234.23,5,1985,1,2,3,6394.791
5,461,9.8,1,0.063817206,6,117.1492,8,1997,2,0,1,1910.5555
6,604,19.35,1,0.082601537,0,50.1034,3,2009,1,2,2,662.9306
7,266,12.695633368756642,0,0.015782495,0,81.0592,5,1985,1,2,3,2213.2754
8,668,6.305,1,0.123365446,13,95.7436,7,2002,1,1,1,1494.9205
9,170,5.985,0,0.005698435,0,186.8924,2,2007,1,1,1,3090.449
10,943,16.6,0,0.103569075,6,118.3466,2,2007,1,1,1,1887.6522
11,807,6.59,0,0.10581147,6,85.3908,7,2002,1,1,1,1421.405
12,1279,12.695633368756642,0,0.171079215,8,240.4196,4,1985,2,0,0,593.94635
13,966,4.785,0,0.092737611,1,122.3098,9,1999,1,0,1,2034.015
14,119,16.75,0,0.021206464,7,52.0298,1,1987,0,2,1,786.3067
15,626,6.135,1,0.0794507,0,151.6366,9,1999,1,0,1,2397.5735
16,500,19.85,0,0.05413521,12,198.7768,7,2002,1,1,1,3329.976
17,9,17.85,0,0.037980963,14,192.2188,3,2009,1,2,2,2848.2913
18,1386,12.695633368756642,0,0.028184344,9,109.6912,5,1985,1,2,3,3224.6372
19,178,13.6,0,0.196897637,13,193.7136,0,1998,1,2,0,488.2176
20,165,7.1,0,0.109920138,6,175.008,1,1987,0,2,1,2781.1084
21,1346,19.2,0,0.182619235,11,239.9196,6,2004,2,1,1,3287.5847
22,420,13.65,0,0.065630844,5,47.7402,8,1997,2,0,1,793.09515
23,1367,12.695633368756642,0,0.027447057,11,142.347,4,1985,2,0,0,335.0331
24,867,19.2,0,0.035178935,13,180.7318,6,2004,2,1,1,3129.589
25,1121,6.785,1,0.038455125,13,209.4928,0,1998,1,2,0,445.2425
26,1304,13.0,0,0.035102094,9,47.6034,6,2004,2,1,1,810.0213
27,1291,5.825,0,0.091485232,9,161.3894,8,1997,2,0,1,2438.469
28,13,13.8,0,0.058102469,4,244.6802,8,1997,2,0,1,3676.5874
29,327,12.8,0,0.022940349,6,116.5492,6,2004,2,1,1,2063.2183
30,1459,12.695633368756642,0,0.06737681,9,32.09,4,1985,2,0,0,95.62226
31,1146,9.5,1,0.022148582,10,194.9452,3,2009,1,2,2,2923.2056
32,1452,12.5,0,0.006792707,9,42.4112,3,2009,1,2,2,518.1454
33,981,12.695633368756642,1,0.024870035,6,217.7508,5,1985,1,2,3,5539.8735
34,1005,5.78,0,0.096931426,1,164.2552,2,2007,1,1,1,2494.1084
35,814,12.695633368756642,1,0.008693632,10,205.098,5,1985,1,2,3,5595.712
36,899,12.695633368756642,0,0.078961284,3,80.3644,5,1985,1,2,3,2323.9873
37,307,10.395,0,0.050479463,0,114.0176,0,1998,1,2,0,290.10452
38,1303,18.35,0,0.089485918,9,192.1504,2,2007,1,1,1,3139.3452
39,1288,12.695633368756642,0,0.01594238,9,103.3964,5,1985,1,2,3,2372.003
40,1289,21.1,0,0.029127115,9,143.3786,3,2009,1,2,2,1641.1033
41,1168,19.75,0,0.069236421,6,116.6466,0,1998,1,2,0,247.44939
42,1532,8.43,0,0.178699961,9,173.9422,2,2007,1,1,1,2928.406
43,1367,15.35,0,0.015740089,11,144.847,3,2009,1,2,2,2225.9844
44,740,6.71,0,0.059565107,1,217.2166,0,1998,1,2,0,420.7197
45,250,10.195,0,0.126277921,3,112.1886,1,1987,0,2,1,1732.0946
46,823,11.65,0,0.291322397,4,55.8298,0,1998,1,2,0,166.77788
47,1470,12.85,0,0.053433908,8,183.2608,6,2004,2,1,1,3075.6
48,380,12.15,0,0.131155007,5,248.146,6,2004,2,1,1,4115.7227
49,984,18.25,0,0.075194929,13,124.9046,8,1997,2,0,1,2050.8906
50,65,5.98,0,0.075557965,7,57.0614,8,1997,2,0,1,883.2626
51,613,12.65,0,0.122928415,10,106.6938,1,1987,0,2,1,1693.2135
52,884,13.1,1,0.044442342,6,181.0318,2,2007,1,1,1,3166.479
53,514,20.7,1,0.100741569,6,122.3388,2,2007,1,1,1,2151.4666
54,1042,12.695633368756642,1,0.039651481,6,188.7188,5,1985,1,2,3,5290.4014
55,392,7.855,0,0.011278673,3,188.8188,9,1999,1,0,1,3130.318
56,149,13.35,1,0.0,13,179.666,1,1987,0,2,1,3256.6865
57,912,17.25,0,0.106952661,5,38.3822,1,1987,0,2,1,627.6482
58,610,12.695633368756642,1,0.129825457,13,263.2568,4,1985,2,0,0,495.68686
59,349,10.395,1,0.029947409,4,90.1514,7,2002,1,1,1,1356.9507
60,1066,8.315,1,0.035565457,0,144.8444,6,2004,2,1,1,2426.4697
61,606,20.7,1,0.047760002,4,214.9876,2,2007,1,1,1,3564.242
62,1530,12.695633368756642,0,0.015089147,9,141.347,5,1985,1,2,3,3464.15
63,816,21.35,0,0.07818366,6,96.8094,2,2007,1,1,1,1417.8044
64,672,5.88,0,0.086632125,5,152.6998,7,2002,1,1,1,2341.1738
65,213,12.695633368756642,1,0.064306056,15,90.3804,5,1985,1,2,3,2495.4722
66,159,7.435,0,0.08493006,15,165.8158,2,2007,1,1,1,2877.8225
67,1363,14.65,0,0.072066634,9,262.5594,8,1997,2,0,1,3860.8884
68,487,14.0,0,0.041256807,15,181.2634,1,1987,0,2,1,3318.1533
69,1511,18.2,0,0.058587558,9,221.6456,7,2002,1,1,1,3844.9094
70,1515,17.6,0,0.015711434,9,180.0976,9,1999,1,0,1,3243.193
71,257,12.695633368756642,0,0.032714163,0,108.1938,5,1985,1,2,3,2588.9868
72,1213,7.71,1,0.047782552,4,122.3756,3,2009,1,2,2,1816.3048
73,61,7.81,0,0.067560171,14,245.2486,9,1999,1,0,1,4046.7864
74,1311,16.35,0,0.029505077,9,256.2646,7,2002,1,1,1,3646.4802
75,14,13.0,1,0.045076104,14,173.7054,7,2002,1,1,1,2681.0784
76,1023,12.695633368756642,0,0.299544153,13,124.8704,4,1985,2,0,0,409.46918
77,228,13.35,0,0.139452413,5,148.6392,8,1997,2,0,1,2474.5205
78,139,12.695633368756642,0,0.246178257,7,252.4382,4,1985,2,0,0,580.08057
79,153,16.1,0,0.065128984,4,145.176,1,1987,0,2,1,2381.5503
80,11,17.85,0,0.024816585,14,152.6998,6,2004,2,1,1,2617.0352
81,1072,5.34,1,0.005988175,13,100.6358,3,2009,1,2,2,1701.0839
82,1323,5.51,0,0.034473804,8,97.3726,8,1997,2,0,1,1700.6686
83,1004,6.61,1,0.028987582,13,188.6898,1,1987,0,2,1,3108.023
84,1175,6.38,0,0.032078604,4,177.6344,2,2007,1,1,1,2889.8474
85,1052,16.1,1,0.013593151,6,108.9596,6,2004,2,1,1,1668.2546
86,956,13.65,0,0.015911432,1,230.5668,8,1997,2,0,1,3846.5774
87,205,19.2,1,0.005588601,15,225.5062,8,1997,2,0,1,3559.2
88,851,8.71,0,0.139510771,3,46.2376,7,2002,1,1,1,835.3986
